"Institute","WebsiteCountry","SuggestedCountry_Copilot","Status","InstituteKey","WebsiteCountryCount","SuggestedCountryCount"
"Oklahoma State University","United States of America","United States of America","Match","oklahoma state university","1","1"
"Oklahoma State University Stillwater","United States of America","United States of America","Match","oklahoma state university stillwater","1","1"
"Oklahoma State University-Main Campus","United States of America","United States of America","Match","oklahoma state university main campus","1","1"
"Old Dominion University","United States of America","United States of America","Match","old dominion university","1","1"
"Ondokuz Mayys University","United States of America","United States of America","Match","ondokuz mayys university","1","1"
"Ontario Tech University","Canada","Canada","Match","ontario tech university","1","1"
"Open University","United States of America","United States of America","Match","open university","1","1"
"Open University of Israel","United States of America","United States of America","Match","open university of israel","1","1"
"Open University UK","United States of America","United States of America","Match","open university uk","1","1"
"Opole University of Technology","United States of America","United States of America","Match","opole university of technology","1","1"
"Oradea University","United States of America","United States of America","Match","oradea university","1","1"
"Orebro University","United States of America","United States of America","Match","orebro university","1","1"
"Oregon Health & Science University","United States of America","United States of America","Match","oregon health and science university","1","1"
"Oregon State University","United States of America","United States of America","Match","oregon state university","1","1"
"Osaka Institute of Technology","Japan","Japan","Match","osaka institute of technology","1","1"
"Osaka Metropolitan University","Japan","Japan","Match","osaka metropolitan university","1","1"
"Osaka University","Japan","Japan","Match","osaka university","1","1"
"Oslo Metropolitan University","United States of America","United States of America","Match","oslo metropolitan university","1","1"
"Osmania University Hyderabad","United States of America","United States of America","Match","osmania university hyderabad","1","1"
"Ostfold University College","United States of America","United States of America","Match","ostfold university college","1","1"
"Otto Beisheim Graduate School of Management","United States of America","United States of America","Match","otto beisheim graduate school of management","1","1"
"Otto Von Guericke Universitat Magdeburg","United States of America","United States of America","Match","otto von guericke universitat magdeburg","1","1"
"Otto von Guericke University Magdeburg","Germany","Germany","Match","otto von guericke university magdeburg","1","1"
"Oxford Brookes University","United Kingdom","United Kingdom","Match","oxford brookes university","1","1"
"Ozyegin University","United States of America","United States of America","Match","ozyegin university","1","1"
"Pace University","United States of America","United States of America","Match","pace university","1","1"
"Pace University - New York","United States of America","United States of America","Match","pace university new york","1","1"
"Pacific Lutheran University","United States of America","United States of America","Match","pacific lutheran university","1","1"
"Pacific University","United States of America","United States of America","Match","pacific university","1","1"
"Pacific University Oregon","United States of America","United States of America","Match","pacific university oregon","1","1"
"Pakistan Institute of Engineering and Applied Sciences (PIEAS)","Pakistan","Pakistan","Match","pakistan institute of engineering and applied sciences pieas","1","1"
"Palacky University in Olomouc","Czechia","Czechia","Match","palacky university in olomouc","1","1"
"Palacky University of Olomouc","United States of America","United States of America","Match","palacky university of olomouc","1","1"
"Pamukkale University","United States of America","United States of America","Match","pamukkale university","1","1"
"Pandit Deendayal Petroleum University","United States of America","United States of America","Match","pandit deendayal petroleum university","1","1"
"Panjab University","United States of America","United States of America","Match","panjab university","1","1"
"Panteion University of Political and Social Sciences","United States of America","United States of America","Match","panteion university of political and social sciences","1","1"
"Paracelsus Medizinischen Privatuniversitat","United States of America","United States of America","Match","paracelsus medizinischen privatuniversitat","1","1"
"Paris Lodron Universitat Salzburg","United States of America","United States of America","Match","paris lodron universitat salzburg","1","1"
"Paris Lodron University of Salzburg","Austria","Austria","Match","paris lodron university of salzburg","1","1"
"Paris-Sud University (now part of Paris-Saclay University)","France","France","Match","paris sud university now part of paris saclay university","1","1"
"ParisTech Institut des Sciences et Technologies de Paris","United States of America","United States of America","Match","paristech institut des sciences et technologies de paris","1","1"
"Pavol Jozef Safarik University in Kosice","United States of America","United States of America","Match","pavol jozef safarik university in kosice","1","1"
"Payam Noor University","United States of America","United States of America","Match","payam noor university","1","1"
"Pazmany Peter Catholic University Budapest","United States of America","United States of America","Match","pazmany peter catholic university budapest","1","1"
"Peking University","China","China","Match","peking university","1","1"
"Peking University Health Science Center (Beijing Medical University)","China","China","Match","peking university health science center beijing medical university","1","1"
"Pennsylvania State University","United States of America","United States of America","Match","pennsylvania state university","1","1"
"Pennsylvania State University University Park","United States of America","United States of America","Match","pennsylvania state university university park","1","1"
"Peoples Friendship University of Russia","United States of America","United States of America","Match","peoples friendship university of russia","1","1"
"Pepperdine University","United States of America","United States of America","Match","pepperdine university","1","1"
"Periyar University Salem","United States of America","United States of America","Match","periyar university salem","1","1"
"Perugia University","Italy","Italy","Match","perugia university","1","1"
"Peter the Great St.Petersburg Polytechnic University","Russian Federation","Russian Federation","Match","peter the great st petersburg polytechnic university","1","1"
"Philadelphia College of Osteopathic Medicine","United States of America","United States of America","Match","philadelphia college of osteopathic medicine","1","1"
"Philadelphia University","United States of America","United States of America","Match","philadelphia university","1","1"
"Philadelphia University at Jordan","United States of America","United States of America","Match","philadelphia university at jordan","1","1"
"Phillips Beth Israel School of Nursing","United States of America","United States of America","Match","phillips beth israel school of nursing","1","1"
"Pittsburg State University","United States of America","United States of America","Match","pittsburg state university","1","1"
"Pitzer College","United States of America","United States of America","Match","pitzer college","1","1"
"Plekhanov Russian University of Economics","Russian Federation","Russian Federation","Match","plekhanov russian university of economics","1","1"
"Plovdiv University Paisii Hilendarski","United States of America","United States of America","Match","plovdiv university paisii hilendarski","1","1"
"Pohang University of Science & Technology","United States of America","United States of America","Match","pohang university of science and technology","1","1"
"Pohang University of Science And Technology (POSTECH)","South Korea","South Korea","Match","pohang university of science and technology postech","1","1"
"Politecnica de Madrid","Spain","Spain","Match","politecnica de madrid","1","1"
"Politecnico di Bari","Italy","Italy","Match","politecnico di bari","1","1"
"Politecnico di Milano","Italy","Italy","Match","politecnico di milano","1","1"
"Politecnico di Torino","Italy","Italy","Match","politecnico di torino","1","1"
"Politehnica University Timisoara","United States of America","United States of America","Match","politehnica university timisoara","1","1"
"Polytechnic University of Marche","United States of America","United States of America","Match","polytechnic university of marche","1","1"
"Polytechnic University of Marche - UNIVPM","Italy","Italy","Match","polytechnic university of marche univpm","1","1"
"Polytechnique Hauts-de-France (University of Valenciennes)","United States of America","United States of America","Match","polytechnique hauts de france university of valenciennes","1","1"
"Pomeranian Medical University","United States of America","United States of America","Match","pomeranian medical university","1","1"
"Pomona College","United States of America","United States of America","Match","pomona college","1","1"
"Pondicherry University","United States of America","United States of America","Match","pondicherry university","1","1"
"Pontificia Universidad Catolica Argentina","United States of America","United States of America","Match","pontificia universidad catolica argentina","1","1"
"Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires - UCA","Argentina","Argentina","Match","pontificia universidad catolica argentina santa maria de los buenos aires uca","1","1"
"Pontificia Universidad Catolica de Chile","Chile","Chile","Match","pontificia universidad catolica de chile","1","1"
"Pontificia Universidad Catolica de Valparaiso","Chile","Chile","Match","pontificia universidad catolica de valparaiso","1","1"
"Pontificia Universidad Catolica del Ecuador","United States of America","United States of America","Match","pontificia universidad catolica del ecuador","1","1"
"Pontificia Universidad Catolica del Peru","United States of America","United States of America","Match","pontificia universidad catolica del peru","1","1"
"Pontificia Universidad Catolica del Peru (PUCP)","Peru","Peru","Match","pontificia universidad catolica del peru pucp","1","1"
"Pontificia Universidad Javeriana","Colombia","Colombia","Match","pontificia universidad javeriana","1","1"
"Pontificia Universidade Catolica do Parana PUCPR","United States of America","United States of America","Match","pontificia universidade catolica do parana pucpr","1","1"
"Pontificia Universidade Catolica do Rio Grande do Sul PUCRS","United States of America","United States of America","Match","pontificia universidade catolica do rio grande do sul pucrs","1","1"
"Portland State University","United States of America","United States of America","Match","portland state university","1","1"
"Postgraduate Institute of Medical Education & Research Chandigarh","United States of America","United States of America","Match","postgraduate institute of medical education and research chandigarh","1","1"
"Poznan University of Economics","United States of America","United States of America","Match","poznan university of economics","1","1"
"Poznan University of Medical Sciences","United States of America","United States of America","Match","poznan university of medical sciences","1","1"
"Poznan University of Technology","United States of America","United States of America","Match","poznan university of technology","1","1"
"Prairie View A&M University","United States of America","United States of America","Match","prairie view a and m university","1","1"
"Presidency University Kolkata","United States of America","United States of America","Match","presidency university kolkata","1","1"
"Prince Mohammad Bin Fahd University","Saudi Arabia","Saudi Arabia","Match","prince mohammad bin fahd university","1","1"
"Prince of Songkla University","Thailand","Thailand","Match","prince of songkla university","1","1"
"Prince Sultan University","Saudi Arabia","Saudi Arabia","Match","prince sultan university","1","1"
"Princess Sumaya University for Technology","Jordan","Jordan","Match","princess sumaya university for technology","1","1"
"Princeton University","United States of America","United States of America","Match","princeton university","1","1"
"Providence College","United States of America","United States of America","Match","providence college","1","1"
"Providence University","United States of America","United States of America","Match","providence university","1","1"
"PSL University","France","France","Match","psl university","1","1"
"Pukyong National University","United States of America","United States of America","Match","pukyong national university","1","1"
"Punjab Agricultural University Ludhiana","United States of America","United States of America","Match","punjab agricultural university ludhiana","1","1"
"Punjab Technical University Jalandhar","United States of America","United States of America","Match","punjab technical university jalandhar","1","1"
"Purdue University","United States of America","United States of America","Match","purdue university","1","1"
"Pusan National University","South Korea","South Korea","Match","pusan national university","1","1"
"Pusan National University (Miryang)","United States of America","United States of America","Match","pusan national university miryang","1","1"
"Qassim University","Saudi Arabia","Saudi Arabia","Match","qassim university","1","1"
"Qatar University","Qatar","Qatar","Match","qatar university","1","1"
"Qilu University of Technology","United States of America","United States of America","Match","qilu university of technology","1","1"
"Qingdao University","United States of America","United States of America","Match","qingdao university","1","1"
"Qingdao University of Science & Technology","United States of America","United States of America","Match","qingdao university of science and technology","1","1"
"Qingdao University of Technology","United States of America","United States of America","Match","qingdao university of technology","1","1"
"Qinghai University","United States of America","United States of America","Match","qinghai university","1","1"
"Quaid-i-azam University","Pakistan","Pakistan","Match","quaid i azam university","1","1"
"Quaid-i-Azam University Islamabad","United States of America","United States of America","Match","quaid i azam university islamabad","1","1"
"Queen Margaret University","United States of America","United States of America","Match","queen margaret university","1","1"
"Queen Mary University of London","United Kingdom","United Kingdom","Match","queen mary university of london","1","1"
"Queens University at Kingston","Canada","Canada","Match","queens university at kingston","1","1"
"Queens University Belfast","United Kingdom","United Kingdom","Match","queens university belfast","1","1"
"Queens University Kingston","Canada","Canada","Match","queens university kingston","1","1"
"Queensland University of Technology","Australia","Australia","Match","queensland university of technology","1","1"
"Queensland University of Technology QUT","Australia","Australia","Match","queensland university of technology qut","1","1"
"Qufu Normal University","United States of America","United States of America","Match","qufu normal university","1","1"
"Quingdao Agricultural University (Laiyang Agricultural College)","United States of America","United States of America","Match","quingdao agricultural university laiyang agricultural college","1","1"
"Quinnipiac University","United States of America","United States of America","Match","quinnipiac university","1","1"
"Radboud University","Netherlands","Netherlands","Match","radboud university","1","1"
"Radboud University Nijmegen","Netherlands","Netherlands","Match","radboud university nijmegen","1","1"
"Radford University","United States of America","United States of America","Match","radford university","1","1"
"Rajamangala University of Technology Isan","United States of America","United States of America","Match","rajamangala university of technology isan","1","1"
"Rajshahi University of Engineering and Technology","United States of America","United States of America","Match","rajshahi university of engineering and technology","1","1"
"Ramon Llull University","Spain","Spain","Match","ramon llull university","1","1"
"Rangsit University","United States of America","United States of America","Match","rangsit university","1","1"
"Ranking","United States of America","United States of America","Match","ranking","1","1"
"Recep Tayyip Erdogan University (Rize University)","United States of America","United States of America","Match","recep tayyip erdogan university rize university","1","1"
"Red de Universidades Anahuac","United States of America","United States of America","Match","red de universidades anahuac","1","1"
"Reed College","United States of America","United States of America","Match","reed college","1","1"
"Regis University","United States of America","United States of America","Match","regis university","1","1"
"Reichman University (IDC Herzliya)","United States of America","United States of America","Match","reichman university idc herzliya","1","1"
"Renmin (Peoples) University of China","China","China","Match","renmin peoples university of china","1","1"
"Renmin University of China","United States of America","United States of America","Match","renmin university of china","1","1"
"Rennes School of Business","France","France","Match","rennes school of business","1","1"
"Rensselaer Polytechnic Institute","United States of America","United States of America","Match","rensselaer polytechnic institute","1","1"
"Research College of Nursing","United States of America","United States of America","Match","research college of nursing","1","1"
"Resurrection University","United States of America","United States of America","Match","resurrection university","1","1"
"Reykjavik University","United States of America","United States of America","Match","reykjavik university","1","1"
"Rheinische Friedrich Wilhelms University Bonn","Germany","Germany","Match","rheinische friedrich wilhelms university bonn","1","1"
"Rheinisch-Westfalische Technische Hochschule Aachen","Germany","Germany","Match","rheinisch westfalische technische hochschule aachen","1","1"
"Rheinland-Pfalzische Technische Universitat Kaiserslautern-Landau RPTU","United States of America","United States of America","Match","rheinland pfalzische technische universitat kaiserslautern landau rptu","1","1"
"Rhode Island College","United States of America","United States of America","Match","rhode island college","1","1"
"Rhode Island School of Design","United States of America","United States of America","Match","rhode island school of design","1","1"
"Rhodes College","United States of America","United States of America","Match","rhodes college","1","1"
"Rhodes University","United States of America","United States of America","Match","rhodes university","1","1"
"Rice University","United States of America","United States of America","Match","rice university","1","1"
"Richard Stockton College","United States of America","United States of America","Match","richard stockton college","1","1"
"Rider University","United States of America","United States of America","Match","rider university","1","1"
"Riga Stradins University (Medical Academy of Latvia)","United States of America","United States of America","Match","riga stradins university medical academy of latvia","1","1"
"Riga Technical University","Latvia","Latvia","Match","riga technical university","1","1"
"Rikkyo University","United States of America","United States of America","Match","rikkyo university","1","1"
"Riphah International University","United States of America","United States of America","Match","riphah international university","1","1"
"Ritsumeikan Asia Pacific University","United States of America","United States of America","Match","ritsumeikan asia pacific university","1","1"
"Ritsumeikan University","Japan","Japan","Match","ritsumeikan university","1","1"
"RMIT University","Australia","Australia","Match","rmit university","1","1"
"RMIT University Vietnam","United States of America","United States of America","Match","rmit university vietnam","1","1"
"Robert Gordon University","United States of America","United States of America","Match","robert gordon university","1","1"
"Robert Morris University","United States of America","United States of America","Match","robert morris university","1","1"
"Rochester Institute of Technology","United States of America","United States of America","Match","rochester institute of technology","1","1"
"Rockefeller University","United States of America","United States of America","Match","rockefeller university","1","1"
"Roger Williams University","United States of America","United States of America","Match","roger williams university","1","1"
"Rollins College","United States of America","United States of America","Match","rollins college","1","1"
"Roosevelt University (Robert Morris University Illinois)","United States of America","United States of America","Match","roosevelt university robert morris university illinois","1","1"
"Rosalind Franklin University of Medicine and Science","United States of America","United States of America","Match","rosalind franklin university of medicine and science","1","1"
"Roseman University of Health Sciences","United States of America","United States of America","Match","roseman university of health sciences","1","1"
"Roskilde University","United States of America","United States of America","Match","roskilde university","1","1"
"Rovira i Virgili University","Spain","Spain","Match","rovira i virgili university","1","1"
"Rowan University","United States of America","United States of America","Match","rowan university","1","1"
"Royal College of Art","United States of America","United States of America","Match","royal college of art","1","1"
"Royal College of Surgeons of Ireland","United States of America","United States of America","Match","royal college of surgeons of ireland","1","1"
"Royal Holloway University of London","United Kingdom","United Kingdom","Match","royal holloway university of london","1","1"
"Royal Roads University","United States of America","United States of America","Match","royal roads university","1","1"
"Royal Veterinary College University of London","United Kingdom","United Kingdom","Match","royal veterinary college university of london","1","1"
"RUDN University","Russian Federation","Russian Federation","Match","rudn university","1","1"
"Rush University","United States of America","United States of America","Match","rush university","1","1"
"Russian Presidential Academy of National Economy and Public Administration","United States of America","United States of America","Match","russian presidential academy of national economy and public administration","1","1"
"Russian State Medical University","United States of America","United States of America","Match","russian state medical university","1","1"
"Russian State Pedagogical University AI Herzen (Gertsenovsky University)","United States of America","United States of America","Match","russian state pedagogical university ai herzen gertsenovsky university","1","1"
"Russian University of Economics G V Plekhanov","United States of America","United States of America","Match","russian university of economics g v plekhanov","1","1"
"Rutgers University","United States of America","United States of America","Match","rutgers university","1","1"
"Rutgers University – New Brunswick","United States of America","United States of America","Match","rutgers university new brunswick","1","1"
"Rutgers University - Newark","United States of America","United States of America","Match","rutgers university newark","1","1"
"Rutgers University-Camden","United States of America","United States of America","Match","rutgers university camden","1","1"
"RWTH Aachen University","Germany","Germany","Match","rwth aachen university","1","1"
"Ryukoku University","United States of America","United States of America","Match","ryukoku university","1","1"
"Rzeszow University of Technology","United States of America","United States of America","Match","rzeszow university of technology","1","1"
"Saarland University","Germany","Germany","Match","saarland university","1","1"
"Sabanci University","Turkiye","Turkiye","Match","sabanci university","1","1"
"Sacred Heart University","United States of America","United States of America","Match","sacred heart university","1","1"
"Saga University","United States of America","United States of America","Match","saga university","1","1"
"Saha Institute of Nuclear Physics","United States of America","United States of America","Match","saha institute of nuclear physics","1","1"
"Sahand University of Technology Tabriz","United States of America","United States of America","Match","sahand university of technology tabriz","1","1"
"Saint Cloud State University","United States of America","United States of America","Match","saint cloud state university","1","1"
"Saint Francis Medical Center College of Nursing","United States of America","United States of America","Match","saint francis medical center college of nursing","1","1"
"Saint Francis University","United States of America","United States of America","Match","saint francis university","1","1"
"Saint Francis Xavier University","United States of America","United States of America","Match","saint francis xavier university","1","1"
"Saint Georges University","United States of America","United States of America","Match","saint georges university","1","1"
"Saint Georges University of London","United Kingdom","United Kingdom","Match","saint georges university of london","1","1"
"Saint John Fisher College","United States of America","United States of America","Match","saint john fisher college","1","1"
"Saint Johns University","United States of America","United States of America","Match","saint johns university","1","1"
"Saint Joseph University of Beirut (USJ)","Lebanon","Lebanon","Match","saint joseph university of beirut usj","1","1"
"Saint Josephs University","United States of America","United States of America","Match","saint josephs university","1","1"
"Saint Louis University","United States of America","United States of America","Match","saint louis university","1","1"
"Saint Louis University-Main Campus","United States of America","United States of America","Match","saint louis university main campus","1","1"
"Saint Luke s College of Health Sciences","United States of America","United States of America","Match","saint luke s college of health sciences","1","1"
"Saint Mary s College of California","United States of America","United States of America","Match","saint mary s college of california","1","1"
"Saint Marys University","United States of America","United States of America","Match","saint marys university","1","1"
"Saint Marys University Twickenham","United States of America","United States of America","Match","saint marys university twickenham","1","1"
"Saint Olaf College","United States of America","United States of America","Match","saint olaf college","1","1"
"Saint Petersburg Mining University","United States of America","United States of America","Match","saint petersburg mining university","1","1"
"Saint Petersburg State Electrotechnical University","United States of America","United States of America","Match","saint petersburg state electrotechnical university","1","1"
"Saint Petersburg State University","Russian Federation","Russian Federation","Match","saint petersburg state university","1","1"
"Saitama Medical University","United States of America","United States of America","Match","saitama medical university","1","1"
"Saitama University","United States of America","United States of America","Match","saitama university","1","1"
"Sakarya University","United States of America","United States of America","Match","sakarya university","1","1"
"Salisbury University","United States of America","United States of America","Match","salisbury university","1","1"
"Sam Houston State University","United States of America","United States of America","Match","sam houston state university","1","1"
"Samara National Research University","United States of America","United States of America","Match","samara national research university","1","1"
"Samara State Technical University","United States of America","United States of America","Match","samara state technical university","1","1"
"Samford University","United States of America","United States of America","Match","samford university","1","1"
"Samuel Merritt University","United States of America","United States of America","Match","samuel merritt university","1","1"
"San Diego State University","United States of America","United States of America","Match","san diego state university","1","1"
"San Francisco State University","United States of America","United States of America","Match","san francisco state university","1","1"
"San Jose State University","United States of America","United States of America","Match","san jose state university","1","1"
"Sang Myung University","United States of America","United States of America","Match","sang myung university","1","1"
"Santa Clara University","United States of America","United States of America","Match","santa clara university","1","1"
"Santa Fe Institute","United States of America","United States of America","Match","santa fe institute","1","1"
"Sapienza University of Rome","Italy","Italy","Match","sapienza university of rome","1","1"
"Sapporo Medical University","United States of America","United States of America","Match","sapporo medical university","1","1"
"Saratov State University","United States of America","United States of America","Match","saratov state university","1","1"
"Sastra University","United States of America","United States of America","Match","sastra university","1","1"
"Satbayev University","United States of America","United States of America","Match","satbayev university","1","1"
"Satbayev University (previously Kazakh Technical University named after K.I. Satpaev)","Kazakhstan","Kazakhstan","Match","satbayev university previously kazakh technical university named after k i satpaev","1","1"
"Saudi Electronic University","United States of America","United States of America","Match","saudi electronic university","1","1"
"Saveetha University","United States of America","United States of America","Match","saveetha university","1","1"
"School of Advanced Study University of London","United Kingdom","United Kingdom","Match","school of advanced study university of london","1","1"
"School of Oriental and African Studies University of London","United Kingdom","United Kingdom","Match","school of oriental and african studies university of london","1","1"
"Sciences Po Institut dEtudes Politiques de Paris (Alliance Sorbonne Paris Cite)","United States of America","United States of America","Match","sciences po institut detudes politiques de paris alliance sorbonne paris cite","1","1"
"Sciences Po Paris","France","France","Match","sciences po paris","1","1"
"Scottish Association for Marine Science","United States of America","United States of America","Match","scottish association for marine science","1","1"
"Scripps College","United States of America","United States of America","Match","scripps college","1","1"
"Scuola Normale Superiore di Pisa","United States of America","United States of America","Match","scuola normale superiore di pisa","1","1"
"Scuola Superiore di Studi Universitari e di Perfezionamento SantAnna SSSUP di Pisa","United States of America","United States of America","Match","scuola superiore di studi universitari e di perfezionamento santanna sssup di pisa","1","1"
"Scuola Universitaria Professionale della Svizzera Italiana","United States of America","United States of America","Match","scuola universitaria professionale della svizzera italiana","1","1"
"Seattle Pacific University","United States of America","United States of America","Match","seattle pacific university","1","1"
"Seattle University","United States of America","United States of America","Match","seattle university","1","1"
"SEGi University","Malaysia","Malaysia","Match","segi university","1","1"
"Sejong University","South Korea","South Korea","Match","sejong university","1","1"
"Selcuk University","United States of America","United States of America","Match","selcuk university","1","1"
"Semmelweis University Budapest","United States of America","United States of America","Match","semmelweis university budapest","1","1"
"Semnan University","United States of America","United States of America","Match","semnan university","1","1"
"Sentara College of Health Sciences","United States of America","United States of America","Match","sentara college of health sciences","1","1"
"Seoul National University","South Korea","South Korea","Match","seoul national university","1","1"
"Seoul National University of Science & Technology","South Korea","South Korea","Match","seoul national university of science and technology","1","1"
"Seton Hall University","United States of America","United States of America","Match","seton hall university","1","1"
"Seton Hill University","United States of America","United States of America","Match","seton hill university","1","1"
"Sewanee - The University of the South","United States of America","United States of America","Match","sewanee the university of the south","1","1"
"Shaanxi Normal University","United States of America","United States of America","Match","shaanxi normal university","1","1"
"Shaanxi University of Science & Technology","United States of America","United States of America","Match","shaanxi university of science and technology","1","1"
"Shahid Bahonar University of Kerman","United States of America","United States of America","Match","shahid bahonar university of kerman","1","1"
"Shahid Beheshti University","United States of America","United States of America","Match","shahid beheshti university","1","1"
"Shahid Beheshti University (SBU)","Iran","Iran","Match","shahid beheshti university sbu","1","1"
"Shahid Beheshti University of Medical Sciences","United States of America","United States of America","Match","shahid beheshti university of medical sciences","1","1"
"Shahid Chamran University of Ahvaz","United States of America","United States of America","Match","shahid chamran university of ahvaz","1","1"
"Shahjalal University of Science & Technology","United States of America","United States of America","Match","shahjalal university of science and technology","1","1"
"Shahrekord University","United States of America","United States of America","Match","shahrekord university","1","1"
"Shahrood University of Technology","United States of America","United States of America","Match","shahrood university of technology","1","1"
"Shandong Agricultural University","United States of America","United States of America","Match","shandong agricultural university","1","1"
"Shandong Jianzhu University","United States of America","United States of America","Match","shandong jianzhu university","1","1"
"Shandong Normal University","United States of America","United States of America","Match","shandong normal university","1","1"
"Shandong University","China","China","Match","shandong university","1","1"
"Shandong University of Finance and Economics","United States of America","United States of America","Match","shandong university of finance and economics","1","1"
"Shandong University of Science & Technology","United States of America","United States of America","Match","shandong university of science and technology","1","1"
"Shandong University of Technology","United States of America","United States of America","Match","shandong university of technology","1","1"
"Shandong University of Traditional Chinese Medicine","United States of America","United States of America","Match","shandong university of traditional chinese medicine","1","1"
"Shanghai Institute of Technology","China","China","Match","shanghai institute of technology","1","1"
"Shanghai International Studies University","China","China","Match","shanghai international studies university","1","1"
"Shanghai Jiao Tong University","China","China","Match","shanghai jiao tong university","1","1"
"Shanghai Maritime University","China","China","Match","shanghai maritime university","1","1"
"Shanghai Normal University","China","China","Match","shanghai normal university","1","1"
"Shanghai Ocean University (Shanghai Fisheries University)","China","China","Match","shanghai ocean university shanghai fisheries university","1","1"
"Shanghai University","China","China","Match","shanghai university","1","1"
"Shanghai University of Electric Power","China","China","Match","shanghai university of electric power","1","1"
"Shanghai University of Engineering Science","China","China","Match","shanghai university of engineering science","1","1"
"Shanghai University of Finance & Economics","China","China","Match","shanghai university of finance and economics","1","1"
"Shanghai University of Sport","China","China","Match","shanghai university of sport","1","1"
"Shanghai University of Traditional Chinese Medicine","China","China","Match","shanghai university of traditional chinese medicine","1","1"
"ShanghaiTech University","China","China","Match","shanghaitech university","1","1"
"Shantou (Swatow) University","United States of America","United States of America","Match","shantou swatow university","1","1"
"Shanxi Agricultural University","United States of America","United States of America","Match","shanxi agricultural university","1","1"
"Shanxi Medical University","United States of America","United States of America","Match","shanxi medical university","1","1"
"Shanxi Normal University","United States of America","United States of America","Match","shanxi normal university","1","1"
"Shanxi University","United States of America","United States of America","Match","shanxi university","1","1"
"Shaoxing University","United States of America","United States of America","Match","shaoxing university","1","1"
"Shaqra University","United States of America","United States of America","Match","shaqra university","1","1"
"Sharda University","United States of America","United States of America","Match","sharda university","1","1"
"Sharif University of Technology","Iran","Iran","Match","sharif university of technology","1","1"
"Sharif University of Technology Tehran","United States of America","United States of America","Match","sharif university of technology tehran","1","1"
"Sheffield Hallam University","United Kingdom","United Kingdom","Match","sheffield hallam university","1","1"
"Shenandoah University","United States of America","United States of America","Match","shenandoah university","1","1"
"Shenyang Aerospace University (Institute of Aeronautical Engineering)","United States of America","United States of America","Match","shenyang aerospace university institute of aeronautical engineering","1","1"
"Shenyang Agricultural University","United States of America","United States of America","Match","shenyang agricultural university","1","1"
"Shenyang Pharmaceutical University","United States of America","United States of America","Match","shenyang pharmaceutical university","1","1"
"Shenyang University of Technology","United States of America","United States of America","Match","shenyang university of technology","1","1"
"Shenzhen Graduate School Peking University","China","China","Match","shenzhen graduate school peking university","1","1"
"Shenzhen University","China","China","Match","shenzhen university","1","1"
"Shibaura Institute of Technology","United States of America","United States of America","Match","shibaura institute of technology","1","1"
"Shiga University of Medical Science","United States of America","United States of America","Match","shiga university of medical science","1","1"
"Shihezi University","United States of America","United States of America","Match","shihezi university","1","1"
"Shimane University","United States of America","United States of America","Match","shimane university","1","1"
"Shinshu University","United States of America","United States of America","Match","shinshu university","1","1"
"Shippensburg University of Pennsylvania","United States of America","United States of America","Match","shippensburg university of pennsylvania","1","1"
"Shiraz University","Iran","Iran","Match","shiraz university","1","1"
"Shiraz University of Medical Sciences","United States of America","United States of America","Match","shiraz university of medical sciences","1","1"
"Shivaji University","United States of America","United States of America","Match","shivaji university","1","1"
"Shizuoka University","United States of America","United States of America","Match","shizuoka university","1","1"
"Shoolini University of Biotechnology and Management Sciences","United States of America","United States of America","Match","shoolini university of biotechnology and management sciences","1","1"
"Showa University","United States of America","United States of America","Match","showa university","1","1"
"Siberian Federal University","United States of America","United States of America","Match","siberian federal university","1","1"
"Sichuan Agricultural University","United States of America","United States of America","Match","sichuan agricultural university","1","1"
"Sichuan Normal University","United States of America","United States of America","Match","sichuan normal university","1","1"
"Sichuan University","China","China","Match","sichuan university","1","1"
"Sichuan University of Science & Engineering","United States of America","United States of America","Match","sichuan university of science and engineering","1","1"
"Siena College","United States of America","United States of America","Match","siena college","1","1"
"Sigmund Freud PrivatUniversitat Wien","United States of America","United States of America","Match","sigmund freud privatuniversitat wien","1","1"
"Siksha O Anusandhan University","United States of America","United States of America","Match","siksha o anusandhan university","1","1"
"Silesian University of Technology in Gliwice","United States of America","United States of America","Match","silesian university of technology in gliwice","1","1"
"Silesian University Opava","United States of America","United States of America","Match","silesian university opava","1","1"
"Silpakorn University","United States of America","United States of America","Match","silpakorn university","1","1"
"Simmons College","United States of America","United States of America","Match","simmons college","1","1"
"Simon Fraser University","Canada","Canada","Match","simon fraser university","1","1"
"Singapore Institute of Technology","Singapore","Singapore","Match","singapore institute of technology","1","1"
"Singapore Management University","Singapore","Singapore","Match","singapore management university","1","1"
"Singapore University of Technology and Design","Singapore","Singapore","Match","singapore university of technology and design","1","1"
"Sinop University","United States of America","United States of America","Match","sinop university","1","1"
"SKEMA Business School (University Cote dAzur)","United States of America","United States of America","Match","skema business school university cote dazur","1","1"
"Skidmore College","United States of America","United States of America","Match","skidmore college","1","1"
"Skolkovo Institute of Science and Technology Skoltech","United States of America","United States of America","Match","skolkovo institute of science and technology skoltech","1","1"
"Slovak University of Agriculture in Nitra","United States of America","United States of America","Match","slovak university of agriculture in nitra","1","1"
"Slovak University of Technology in Bratislava","United States of America","United States of America","Match","slovak university of technology in bratislava","1","1"
"Smith College","United States of America","United States of America","Match","smith college","1","1"
"SOAS University of London","United Kingdom","United Kingdom","Match","soas university of london","1","1"
